"index";"time";"minutes";"dateTime";"SDM3045X.CurrentDC";"SPD33.CH1_Voltage";"SPD33.CH1_Current";"SPD33.CH1_Power";"SPD33.CH2_Voltage";"SPD33.CH2_Current";"SPD33.CH2_Power"
65;7,277;0,1212833333;1674551292,774;0,432768428;5;0,43;2,15;0;0;0
66;7,376;0,1229333333;1674551292,868;0,432126172;5;0,43;2,15;0;0;0
67;7,47;0,1245;1674551292,959;0,432004702;5;0,43;2,15;0;0;0
68;7,561;0,1260166667;1674551293,068;0,431412245;5;0,43;2,15;0;0;0
69;7,67;0,1278333333;1674551293,176;0,432364459;5;0,43;2,15;0;0;0
70;7,778;0,1296333333;1674551293,298;0,435843807;5;0,43;2,15;0;0;0
71;7,9;0,1316666667;1674551293,392;0,432431942;5;0,43;2,15;0;0;0
72;7,994;0,1332333333;1674551293,485;0,429962982;5;0,43;2,15;0;0;0
73;8,087;0,1347833333;1674551293,579;0,432575751;5;0,43;2,15;0;0;0
74;8,181;0,13635;1674551293,685;0,433055581;5;0,43;2,15;0;0;0
75;8,287;0,1381166667;1674551293,792;0,43204845;5;0,43;2,15;0;0;0
76;8,394;0,1399;1674551293,918;0,431486244;5;0,43;2,15;0;0;0
77;8,52;0,142;1674551294,008;0,432604606;5;0,43;2,15;0;0;0
78;8,61;0,1435;1674551294,102;0,431809699;5;0,43;2,15;0;0;0
79;8,704;0,1450666667;1674551294,195;0,432687448;5;0,43;2,15;0;0;0
80;8,797;0,1466166667;1674551294,305;0,432653939;5;0,43;2,15;0;0;0
81;8,907;0,14845;1674551294,416;0,432400295;5;0,43;2,15;0;0;0
82;9,018;0,1503;1674551294,54;0,433187755;5;0,43;2,15;0;0;0
83;9,142;0,1523666667;1674551294,632;0,432628342;5;0,43;2,15;0;0;0
84;9,234;0,1539;1674551294,74;0,432791233;5;0,43;2,15;0;0;0
85;9,342;0,1557;1674551294,836;0,432674417;5;0,43;2,15;0;0;0
86;9,438;0,1573;1674551294,944;0,432484998;5;0,43;2,15;0;0;0
87;9,546;0,1591;1674551295,068;0,432803333;5;0,43;2,15;0;0;0
88;9,67;0,1611666667;1674551295,161;0,433002525;5;0,43;2,15;0;0;0
89;9,763;0,1627166667;1674551295,255;0,432183417;5;0,43;2,15;0;0;0
90;9,857;0,1642833333;1674551295,347;0,432287202;5;0,43;2,15;0;0;0
91;9,949;0,1658166667;1674551295,44;0,431939546;5;0,43;2,15;0;0;0
92;10,042;0,1673666667;1674551295,549;0,432164801;5;0,43;2,15;0;0;0
93;10,151;0,1691833333;1674551295,656;0,432206222;5;0,43;2,15;0;0;0
94;10,258;0,1709666667;1674551295,792;0,432650216;5;0,43;2,15;0;0;0
95;10,394;0,1732333333;1674551295,884;0,432939231;5;0,43;2,15;0;0;0
96;10,486;0,1747666667;1674551295,991;0,431889748;5;0,43;2,15;0;0;0
97;10,593;0,17655;1674551296,117;0,431955835;5;0,43;2,15;0;0;0
98;10,719;0,17865;1674551296,224;0,43285732;5;0,43;2,15;0;0;0
99;10,921;0,1820166667;1674551296,412;0,432589248;5;0,43;2,15;0;0;0
100;11,124;0,1854;1674551296,639;0,432033092;5;0,43;2,15;0;0;0
101;11,321;0,1886833333;1674551296,859;0,43215177;5;0,43;2,15;0;0;0
102;11,521;0,1920166667;1674551297,03;0,434397336;5;0,43;2,15;0;0;0
103;11,721;0,19535;1674551297,216;0,432471966;5;0,43;2,15;0;0;0
104;11,928;0,1988;1674551297,437;0,43388167;5;0,43;2,15;0;0;0
105;12,133;0,2022166667;1674551297,64;0,432295579;5;0,43;2,15;0;0;0
106;12,321;0,20535;1674551297,829;0,432142462;5;0,43;2,15;0;0;0
107;12,521;0,2086833333;1674551298,016;0,432623222;5;0,43;2,15;0;0;0
108;12,728;0,2121333333;1674551298,266;0,432572493;5;0,43;2,15;0;0;0
109;12,92;0,2153333333;1674551298,451;0,432968551;5;0,43;2,15;0;0;0
110;13,121;0,2186833333;1674551298,608;0,43189766;5;0,43;2,15;0;0;0
111;13,319;0,2219833333;1674551298,814;0,432220649;5;0,43;2,15;0;0;0
112;13,525;0,2254166667;1674551299,034;0,432514784;5;0,43;2,15;0;0;0
113;13,721;0,2286833333;1674551299,24;0,43264975;5;0,43;2,15;0;0;0
114;13,921;0,2320166667;1674551299,429;0,432215064;5;0,43;2,15;0;0;0
115;14,121;0,23535;1674551299,618;0,432387729;5;0,43;2,15;0;0;0
116;14,321;0,2386833333;1674551299,824;0,431602129;5;0,43;2,15;0;0;0
117;14,521;0,2420166667;1674551300,042;0,432465916;5;0,43;2,15;0;0;0
118;14,721;0,24535;1674551300,229;0,432675347;5;0,43;2,15;0;0;0
119;14,92;0,2486666667;1674551300,415;0,432790767;5;0,43;2,15;0;0;0
120;15,127;0,2521166667;1674551300,65;0,432012614;5;0,43;2,15;0;0;0
121;15,32;0,2553333333;1674551300,838;0,433537738;5;0,43;2,15;0;0;0
122;15,521;0,2586833333;1674551301,041;0,432245315;5;0,43;2,15;0;0;0
123;15,721;0,2620166667;1674551301,227;0,4324473;5;0,43;2,15;0;0;0
124;15,923;0,2653833333;1674551301,414;0,431940942;5;0,43;2,15;0;0;0
125;16,126;0,2687666667;1674551301,634;0,43228534;5;0,43;2,15;0;0;0
126;16,321;0,2720166667;1674551301,852;0,433029984;5;0,43;2,15;0;0;0
127;16,52;0,2753333333;1674551302,023;0,432818226;5;0,43;2,15;0;0;0
128;16,72;0,2786666667;1674551302,21;0,432819157;5;0,43;2,15;0;0;0
129;16,921;0,2820166667;1674551302,421;0,431768278;5;0,43;2,15;0;0;0
130;17,12;0,2853333333;1674551302,656;0,433913783;5;0,43;2,15;0;0;0
131;17,32;0,2886666667;1674551302,828;0,431916276;5;0,43;2,15;0;0;0
132;17,52;0,292;1674551303,014;0,432109883;5;0,43;2,15;0;0;0
133;17,726;0,2954333333;1674551303,217;0,432146185;5;0,43;2,15;0;0;0
134;17,929;0,2988166667;1674551303,469;0,431333127;5;0,43;2,15;0;0;0
135;18,12;0,302;1674551303,638;0,479481337;5;0,43;2,15;0;0;0
136;18,32;0,3053333333;1674551303,809;0,431980501;5;0,48;2,4;0;0;0
137;18,52;0,3086666667;1674551304,027;0,432015872;5;0,43;2,15;0;0;0
138;18,723;0,31205;1674551304,24;0,432865232;5;0,43;2,15;0;0;0
139;18,921;0,31535;1674551304,451;0,431676128;5;0,43;2,15;0;0;0
140;19,12;0,3186666667;1674551304,621;0,433497713;5;0,43;2,15;0;0;0
141;19,32;0,322;1674551304,829;0,431687763;5;0,43;2,15;0;0;0
142;19,52;0,3253333333;1674551305,009;0,642178121;5;0,43;2,15;0;0;0
143;19,72;0,3286666667;1674551305,243;0,64435155;5;0,64;3,2;0;0;0
144;19,921;0,3320166667;1674551305,453;0,642948362;5;0,64;3,2;0;0;0
145;20,121;0,33535;1674551305,626;0,642690994;5;0,64;3,2;0;0;0
